painting_id,artist,path,cluster
afro_1,afro-basaldella,..\bd-peintres-v6\afro - afro-basaldella_1912\afro_1.jpg,18
afro_2,afro-basaldella,..\bd-peintres-v6\afro - afro-basaldella_1912\afro_2.jpg,18
afro_3,afro-basaldella,..\bd-peintres-v6\afro - afro-basaldella_1912\afro_3.jpg,18
afro_4,afro-basaldella,..\bd-peintres-v6\afro - afro-basaldella_1912\afro_4.jpg,18
afro_5,afro-basaldella,..\bd-peintres-v6\afro - afro-basaldella_1912\afro_5.jpg,18
afro_6,afro-basaldella,..\bd-peintres-v6\afro - afro-basaldella_1912\afro_6.jpg,16
afro_7,afro-basaldella,..\bd-peintres-v6\afro - afro-basaldella_1912\afro_7.jpg,18
albers_1,josef-albers,..\bd-peintres-v6\albers - josef-albers_1888\albers_1.jpg,16
albers_10,josef-albers,..\bd-peintres-v6\albers - josef-albers_1888\albers_10.jpg,16
albers_11,josef-albers,..\bd-peintres-v6\albers - josef-albers_1888\albers_11.jpg,16
albers_12,josef-albers,..\bd-peintres-v6\albers - josef-albers_1888\albers_12.jpg,18
albers_13,josef-albers,..\bd-peintres-v6\albers - josef-albers_1888\albers_13.jpg,16
albers_14,josef-albers,..\bd-peintres-v6\albers - josef-albers_1888\albers_14.jpg,16
albers_15,josef-albers,..\bd-peintres-v6\albers - josef-albers_1888\albers_15.jpg,18
albers_16,josef-albers,..\bd-peintres-v6\albers - josef-albers_1888\albers_16.jpg,16
albers_17,josef-albers,..\bd-peintres-v6\albers - josef-albers_1888\albers_17.jpg,18
albers_18,josef-albers,..\bd-peintres-v6\albers - josef-albers_1888\albers_18.jpg,16
albers_19,josef-albers,..\bd-peintres-v6\albers - josef-albers_1888\albers_19.jpg,16
albers_2,josef-albers,..\bd-peintres-v6\albers - josef-albers_1888\albers_2.jpg,16
albers_3,josef-albers,..\bd-peintres-v6\albers - josef-albers_1888\albers_3.jpg,16
albers_4,josef-albers,..\bd-peintres-v6\albers - josef-albers_1888\albers_4.jpg,16
albers_5,josef-albers,..\bd-peintres-v6\albers - josef-albers_1888\albers_5.jpg,16
albers_6,josef-albers,..\bd-peintres-v6\albers - josef-albers_1888\albers_6.jpg,16
albers_7,josef-albers,..\bd-peintres-v6\albers - josef-albers_1888\albers_7.jpg,16
albers_8,josef-albers,..\bd-peintres-v6\albers - josef-albers_1888\albers_8.jpg,18
albers_9,josef-albers,..\bd-peintres-v6\albers - josef-albers_1888\albers_9.jpg,18
amiet_1,cuno-amiet,..\bd-peintres-v6\amiet - cuno-amiet_1868\amiet_1.jpg,0
amiet_2,cuno-amiet,..\bd-peintres-v6\amiet - cuno-amiet_1868\amiet_2.jpg,0
amiet_3,cuno-amiet,..\bd-peintres-v6\amiet - cuno-amiet_1868\amiet_3.jpg,19
amiet_4,cuno-amiet,..\bd-peintres-v6\amiet - cuno-amiet_1868\amiet_4.jpg,0
amiet_5,cuno-amiet,..\bd-peintres-v6\amiet - cuno-amiet_1868\amiet_5.jpg,9
amiet_6,cuno-amiet,..\bd-peintres-v6\amiet - cuno-amiet_1868\amiet_6.jpg,0
amiet_7,cuno-amiet,..\bd-peintres-v6\amiet - cuno-amiet_1868\amiet_7.jpg,0
amiet_8,cuno-amiet,..\bd-peintres-v6\amiet - cuno-amiet_1868\amiet_8.jpg,0
amiet_9,cuno-amiet,..\bd-peintres-v6\amiet - cuno-amiet_1868\amiet_9.jpg,0
appel_1,karel-appel,..\bd-peintres-v6\appel - karel-appel_1921\appel_1.jpg,3
appel_10,karel-appel,..\bd-peintres-v6\appel - karel-appel_1921\appel_10.jpg,18
