PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,painting_id,artist
-1.6561289,-2.1514745,-2.571022,2.0614543,1.7242374,-2.621142,-2.8402426,1.134493,0.22089836,-3.8268182,afro_1,afro-basaldella
-1.843928,-2.4934936,-2.4917955,2.0611718,2.1195815,-2.5600166,-2.690279,1.1009285,-0.173991,-4.212746,afro_2,afro-basaldella
-1.5593679,-2.4436846,-2.569517,1.7857416,1.9427273,-2.6990829,-2.9171238,0.8828924,0.39373508,-3.6982641,afro_3,afro-basaldella
-1.471124,-2.661417,-2.823075,2.1105115,1.5520139,-2.7061048,-2.8685374,1.2606877,0.5821399,-3.885026,afro_4,afro-basaldella
-1.5970962,-2.1253467,-2.7559087,1.9265301,1.7716289,-2.6491394,-2.7551312,0.99116635,0.37357143,-3.9387915,afro_5,afro-basaldella
-1.3574517,-1.6537743,-2.7726767,1.6866403,1.7769823,-2.362424,-2.5059361,0.7242913,0.48155308,-3.529083,afro_6,afro-basaldella
-1.6976225,-2.350257,-2.6182015,2.1667058,1.8334098,-2.6356897,-2.9083877,1.2054226,0.027068038,-4.066297,afro_7,afro-basaldella
-1.368878,-1.8717777,-2.4655907,1.9954376,1.3062826,-2.2344651,-2.0475051,0.902146,0.19992155,-3.3622324,albers_1,josef-albers
-1.2727188,-1.5809559,-2.7105985,1.9479194,1.2648513,-2.2952971,-2.344641,0.7876783,0.50117904,-3.6895401,albers_10,josef-albers
-1.0533551,-1.5389825,-2.3109047,1.4028723,1.5504521,-1.9574946,-2.1751122,0.6441176,0.46215713,-3.0956104,albers_11,josef-albers
-1.0270573,-2.1282268,-3.0856228,2.19935,1.194687,-2.4513743,-2.2572448,1.1677843,0.39729977,-3.6741807,albers_12,josef-albers
-0.98230493,-1.5614438,-3.0721164,1.9682434,1.1724725,-2.2523415,-2.1155596,0.9343479,0.60311735,-3.599976,albers_13,josef-albers
-0.86363924,-1.6768042,-2.7580833,1.7694864,1.3463963,-2.131585,-1.6177763,1.0049801,0.53836375,-3.2712731,albers_14,josef-albers
-1.3089085,-1.9535662,-2.7429597,2.018637,1.3061547,-2.2763522,-2.4696891,1.1013703,0.5212063,-3.6895905,albers_15,josef-albers
-0.8333666,-1.3038415,-2.6837714,1.747155,1.1829017,-1.608768,-2.0457053,0.66191775,0.96287155,-3.063247,albers_16,josef-albers
-0.9621228,-1.8258122,-3.2156281,2.1386414,1.5411267,-2.6150227,-2.2289355,1.0775806,0.50195384,-4.0863585,albers_17,josef-albers
-1.006881,-1.7103846,-2.9925263,1.920923,1.4373275,-2.282484,-2.0315256,0.4625318,1.0623199,-3.4623609,albers_18,josef-albers
-1.0718733,-1.88763,-2.3666172,1.5615969,1.4619714,-2.06982,-2.1127179,0.97751075,0.57120186,-3.1810074,albers_19,josef-albers
-1.1360552,-1.3104825,-2.8529127,1.7431345,1.2832205,-2.415633,-2.531015,0.30829385,0.38339782,-3.4296682,albers_2,josef-albers
-1.1427739,-2.183967,-3.10186,2.224322,1.2406137,-2.239604,-2.209531,0.44559526,1.2591685,-3.6435807,albers_3,josef-albers
-1.1015192,-1.1749446,-2.6132517,1.6931636,1.1967609,-1.9840161,-2.071071,0.68176144,0.6304884,-3.1988702,albers_4,josef-albers
-0.7157321,-1.5910317,-2.72798,1.8468966,1.3723122,-2.3080819,-2.0217378,0.719463,0.016377691,-3.3977,albers_5,josef-albers
-0.9054664,-1.7449738,-2.4016204,1.9242971,1.3459425,-1.9388034,-2.3356116,0.57541007,-0.48460278,-3.3670478,albers_6,josef-albers
-1.0366863,-1.8124489,-2.6473985,2.0641978,1.059976,-2.222129,-2.1535378,1.1422503,0.57401586,-3.257255,albers_7,josef-albers
-1.1652368,-2.1874669,-3.098823,2.1983702,1.2792981,-2.3163745,-2.2208204,0.47572872,1.2454981,-3.692731,albers_8,josef-albers
-1.3528761,-2.259895,-3.1714,2.3407693,1.3120319,-2.4422023,-2.3479917,0.54919577,1.2473785,-3.8470647,albers_9,josef-albers
-0.8382385,-0.98940694,-1.1722139,1.1879444,0.89820206,-1.1947238,-1.6955813,0.3540317,-0.12740077,-2.0291731,amiet_1,cuno-amiet
-0.96853685,-1.2015009,-1.493578,1.4548087,1.1857014,-1.4574517,-1.7681954,0.3515446,-0.27902052,-2.7061143,amiet_2,cuno-amiet
-1.3030208,-1.2660439,-1.7254037,1.7012136,1.4266249,-1.3593818,-2.2345614,0.81600815,0.13229223,-3.0567112,amiet_3,cuno-amiet
-0.9220681,-0.75657,-1.1890838,1.1801758,0.9133692,-1.0685835,-1.5618834,0.14483373,-0.113704875,-2.0591543,amiet_4,cuno-amiet
-0.88657975,-0.63563704,-1.3458116,1.0625969,1.1059703,-0.86543566,-1.209327,0.42584005,-0.14187798,-1.959629,amiet_5,cuno-amiet
-0.8742162,-0.6474773,-1.5026568,0.95126075,1.0752795,-1.1490154,-1.4840649,0.308631,0.26005894,-2.0155995,amiet_6,cuno-amiet
-1.1344203,-0.78296214,-1.3704519,1.2998118,0.9480593,-1.2440218,-1.6460866,0.5607687,-0.45553833,-2.1171498,amiet_7,cuno-amiet
-0.95616627,-0.9691928,-1.4565412,1.0314591,1.0852976,-1.0482206,-1.2522767,0.769966,0.00644901,-1.9868786,amiet_8,cuno-amiet
-0.91547847,-1.2429148,-1.1311723,1.0896919,1.0813538,-1.3644254,-1.6988003,0.41669783,-0.54647624,-1.9211137,amiet_9,cuno-amiet
-1.9750115,-2.6631346,-2.8290715,2.2761567,2.165889,-2.8174639,-3.0773966,1.4196873,0.23300713,-4.310053,appel_1,karel-appel
-1.8071209,-2.5426538,-2.4803762,2.0522957,1.4536265,-2.7210045,-2.9750016,1.3295186,0.47098136,-3.6577957,appel_10,karel-appel
-2.0680408,-2.9957845,-2.5206616,2.1832645,2.3143072,-2.5043268,-3.2790673,1.5999653,0.5750538,-4.2393045,appel_11,karel-appel
-1.9373337,-2.333583,-3.1644106,2.3352513,1.9509628,-2.7372653,-3.0130355,1.5963917,0.5604887,-4.595844,appel_12,karel-appel
-1.7031146,-2.8414035,-2.3441398,1.9571395,1.7020295,-2.711461,-3.2310631,1.3143147,0.37400544,-3.7815175,appel_13,karel-appel
-1.6161034,-2.4597244,-2.5726802,2.1875932,1.8044882,-2.7816966,-2.949646,1.1332834,-0.14820111,-3.9730864,appel_14,karel-appel
-1.7783757,-2.9348378,-2.4351351,2.0051413,1.9154975,-2.883395,-3.1092677,1.2074331,0.3010393,-3.9881992,appel_2,karel-appel
-1.9784359,-2.954366,-2.1531978,1.8740542,1.7929518,-2.5168533,-3.0202656,1.4059236,0.49817854,-3.7697737,appel_3,karel-appel
-1.8004221,-2.8402293,-2.3087544,2.1131423,1.7421393,-2.6296093,-3.1977499,1.544824,0.16962424,-3.7977717,appel_4,karel-appel
-1.9914349,-2.6238368,-2.8320792,2.1584523,1.7394397,-2.7414732,-3.4166052,1.4954816,0.6028805,-4.2299166,appel_5,karel-appel
-1.8593975,-3.410135,-2.359538,1.916637,1.9823723,-3.234202,-3.6762807,1.4920356,0.36415067,-4.112594,appel_6,karel-appel
-1.6308727,-2.1020658,-3.0641193,1.9540329,1.8401911,-2.7696347,-3.004997,1.1586732,0.51262885,-4.061818,appel_7,karel-appel
-1.9291354,-2.6597645,-2.5679142,2.0640173,1.5896341,-2.7476144,-3.4557796,1.404548,0.47018725,-4.061075,appel_8,karel-appel
-1.907032,-2.4795206,-2.5084343,2.136694,1.6848257,-2.7273803,-3.126109,1.2387713,0.23799664,-3.9861116,appel_9,karel-appel
-1.7057233,-3.12395,-2.7371335,2.2254064,1.851806,-3.1806123,-3.579502,1.4259068,0.3651821,-4.2141247,arman_1,armand-fernandez-dit-arman
-1.8855454,-3.4149132,-2.313803,2.0365222,2.100587,-3.1640549,-3.7543662,1.4088426,0.24014229,-4.118809,arman_2,armand-fernandez-dit-arman
-1.4475958,-3.5075798,-2.3995733,2.1518407,1.830667,-3.2156007,-3.781095,1.4712296,0.44344348,-4.0071054,arman_3,armand-fernandez-dit-arman
